country_name
Afghanistan
Albania
Algeria
Andorra
Angola
Antigua_and_Barbuda
Argentina
Armenia
Australia
Austria
Azerbaijan
Bahamas
Bahrain
Bangladesh
Barbados
Belarus
Belgium
Belize
Benin
Bhutan
Bolivia
Bosnia_and_Herzegovina
Botswana
Brazil
Brunei_Darussalam
Bulgaria
Burkina_Faso
Burundi
Cape_Verde
Cambodia
Cameroon
Canada
Central_African_Republic
Chad
Chile
China
Colombia
Comoros
Congo
"Congo, Democratic Republic of the"
Costa_Rica
Cote_dIvoire
Croatia
Cuba
Cyprus
Czechia
Denmark
Djibouti
Dominica
Dominican_Republic
Ecuador
Egypt
El_Salvador
Equatorial_Guinea
Eritrea
Estonia
Eswatini
Ethiopia
Fiji
Finland
France
Gabon
Gambia
Georgia
Germany
Ghana
Greece
Grenada
Guatemala
Guinea
Guinea_Bissau
Guyana
Haiti
Honduras
Hungary
Iceland
India
Indonesia
Iran
Iraq
Ireland
Israel
Italy
Jamaica
Japan
Jordan
Kazakhstan
Kenya
Kiribati
Korea (Democratic People's Republic of)
"Korea, Republic of"
Kuwait
Kyrgyzstan
Laos
Latvia
Lebanon
Lesotho
Liberia
Libya
Liechtenstein
Lithuania
Luxembourg
Madagascar
Malawi
Malaysia
Maldives
Mali
Malta
Marshall Islands
Mauritania
Mauritius
Mexico
Micronesia
Moldova
Monaco
Mongolia
Montenegro
Morocco
Mozambique
Myanmar
Namibia
Nauru
Nepal
Netherlands
New_Zealand
Nicaragua
Niger
Nigeria
North_Macedonia
Norway
Oman
Pakistan
Palau
Panama
Papua_New_Guinea
Paraguay
Peru
Philippines
Poland
Portugal
Qatar
Romania
Russia
Rwanda
Saint_Kitts_and_Nevis
Saint Lucia
Saint_Vincent_and_the_Grenadines
Samoa
San_Marino
Sao_Tome_and_Principe
Saudi_Arabia
Senegal
Serbia
Seychelles
Sierra_Leone
Singapore
Slovakia
Slovenia
Solomon_Islands
Somalia
South_Africa
South_Sudan
Spain
Sri_Lanka
Sudan
Suriname
Sweden
Switzerland
Syria
Tajikistan
Tanzania
Thailand
Timor_Leste
Togo
Tonga
Trinidad_and_Tobago
Tunisia
Turkey
Turkmenistan
Tuvalu
Uganda
Ukraine
United_Arab_Emirates
United_Kingdom
United_States_of_America
Uruguay
Uzbekistan
Vanuatu
Venezuela
Vietnam
Yemen
Zambia
Zimbabwe
